Day,Price,10MA,20MA,50MA,100MA,200MA
2390,111.5900,114.997,115.718,112.4478,106.6753,103.40425
2389,111.4900,115.55,115.791,112.393,106.5328,103.33025
2388,113.5400,116.148,115.8665,112.3334,106.4062,103.2561
2387,113.7200,116.549,115.8155,112.2498,106.2673,103.17405
2386,114.4800,116.94,115.782,112.157,106.1195,103.10305
2385,115.5900,117.19,115.667,112.0518,105.965,103.0176
2384,118.2500,117.365,115.585,111.9276,105.7954,102.93945
2383,117.6500,117.17,115.327,111.7522,105.5921,102.84085
2382,116.6000,117.01,115.0885,111.5628,105.3928,102.7374
2381,117.0600,116.756,114.894,111.3894,105.2114,102.63665
2380,117.1200,116.439,114.772,111.2082,105.0394,102.55485
2379,117.4700,116.032,114.5935,111.042,104.8717,102.4828
2378,117.5500,115.585,114.3985,110.86,104.7011,102.4222
2377,117.6300,115.082,114.2,110.6586,104.5218,102.36075
2376,116.9800,114.624,114.0645,110.4234,104.3245,102.3092
2375,117.3400,114.144,113.994,110.1996,104.119,102.268
2374,116.3000,113.805,113.7155,109.9424,103.8978,102.2154
2373,116.0500,113.484,113.298,109.7374,103.6768,102.17405
2372,114.0600,113.167,112.7675,109.5006,103.4619,102.13685
2371,113.8900,113.032,112.221,109.3062,103.2562,102.1027
2370,113.0500,113.105,111.8025,109.0874,103.0561,102.0699
2369,113.0000,113.155,111.568,108.7598,102.8308,102.0348
2368,112.5200,113.212,111.303,108.4466,102.6042,102.0147
2367,113.0500,113.318,111.0635,108.1694,102.4041,102.0088
2366,112.1800,113.505,110.7475,107.897,102.2078,101.996
2365,113.9500,113.844,110.4435,107.6526,102.0139,101.9975
2364,113.0900,113.626,110.046,107.371,101.8016,101.99365
2363,112.8800,113.112,109.7325,107.1058,101.6031,102.00905
2362,112.7100,112.368,109.4355,106.8238,101.4162,102.02275
2361,114.6200,111.41,109.1785,106.5454,101.2409,102.05035
2360,113.5500,110.5,108.849,106.1904,101.0311,102.06865
2359,113.5700,109.981,108.614,105.8678,100.833,102.09605
2358,113.5800,109.394,108.361,105.536,100.6456,102.1042
